POUND| 40| NORMAL| Physical
KARATE CHOP| 50| FIGHT| Physical
DOUBLESLAP| 15| NORMAL| Physical
WEATHER BALL| 100| WATER| Special
MEGA PUNCH| 80| NORMAL| Physical
PAY DAY| 40| NORMAL| Physical
FIRE PUNCH| 75| FIRE| Physical
ICE PUNCH| 75| ICE| Physical
THUNDERPUNCH| 75| ELECTR| Physical
SCRATCH| 40| NORMAL| Physical
WEATHER BALL| 100| FIRE| Special
GUILLOTINE| 1| NORMAL| Physical
RAZOR WIND| 80| NORMAL| Special
SWORDS DANCE| 0| NORMAL| Status
CUT| 50| NORMAL| Physical
GUST| 40| FLYING| Special
WING ATTACK| 60| FLYING| Physical
WHIRLWIND| 0| NORMAL| Status
FLY| 70| FLYING| Physical
BIND| 15| NORMAL| Physical
SLAM| 80| NORMAL| Physical
VINE WHIP| 35| GRASS| Physical
STOMP| 65| NORMAL| Physical
DOUBLE KICK| 30| FIGHT| Physical
MEGA KICK| 120| NORMAL| Physical
JUMP KICK| 70| FIGHT| Physical
ROLLING KICK| 60| FIGHT| Physical
SAND-ATTACK| 0| GROUND| Status
HEADBUTT| 70| NORMAL| Physical
HORN ATTACK| 65| NORMAL| Physical
FURY ATTACK| 15| NORMAL| Physical
DRILL RUN| 80| GROUND| Physical
TACKLE| 35| NORMAL| Physical
BODY SLAM| 85| NORMAL| Physical
WRAP| 15| NORMAL| Physical
TAKE DOWN| 90| NORMAL| Physical
THRASH| 90| NORMAL| Physical
DOUBLE-EDGE| 120| NORMAL| Physical
TAIL WHIP| 0| NORMAL| Status
POISON STING| 15| POISON| Physical
TWINEEDLE| 25| BUG| Physical
PIN MISSILE| 15| BUG| Physical
LEER| 0| NORMAL| Status
BITE| 60| DARK| Physical
GROWL| 0| NORMAL| Status
ROAR| 0| NORMAL| Status
SING| 0| NORMAL| Status
SUPERSONIC| 0| NORMAL| Status
SONICBOOM| 1| NORMAL| Special
DISABLE| 0| NORMAL| Status
ACID| 40| POISON| Special
EMBER| 40| FIRE| Special
FLAMETHROWER| 95| FIRE| Special
MIST| 0| ICE| Status
WATER GUN| 40| WATER| Special
